timestamp_us,ax,ay,az,gx,gy,gz,roll,pitch,yaw
301650248.0,-0.146,0.0044,-0.4409,10.416,-115.719,5.295,18.174994161803674,-27.9767096814167,-45.784387739999005
301663248.0,-0.0469,-0.02,-0.3252,11.332,-96.676,2.427,14.425765114652158,-28.48621211440525,-45.75004862999901
301676248.0,0.0024,-0.0137,-0.2051,11.149,-91.427,-1.968,10.755233191991245,-29.095856607496994,-45.772844519999005
301689248.0,0.0942,0.002,-0.0405,10.416,-79.219,-2.212,14.215801170548197,-30.858600557635793,-45.798812409999
301702248.0,0.0986,-0.0435,0.0239,7.914,-68.355,-5.325,12.807534931620978,-32.37908610065519,-45.865249299999
301715248.0,0.1626,-0.043,0.0693,4.618,-58.223,-5.813,11.97334857620216,-33.74172832972771,-45.938030189999
301728248.0,0.2153,-0.0273,0.0952,-0.692,-50.106,-6.729,11.404560361561197,-35.012410054754966,-46.022719079999
301741248.0,0.2646,-0.0127,0.0742,-9.298,-34.237,-7.522,10.863276424931719,-36.23192904252543,-46.117716969999
301754248.0,0.2285,-0.0273,0.0625,-16.134,-6.405,-5.996,9.968064921184057,-37.05771625354942,-46.192876859999004
301767248.0,0.1914,-0.0352,0.1167,-20.284,16.362,-1.602,9.174105013951738,-37.259499642120616,-46.210914749999006
301780248.0,0.2256,-0.0444,0.1255,-24.13,35.221,2.182,8.293061838726294,-37.255922290132446,-46.179760639999
301793248.0,0.292,-0.0205,0.1099,-26.327,56.279,3.22,7.579987229607762,-37.17602091971161,-46.135112529999006
301806248.0,0.3462,0.0049,0.0498,-28.646,82.646,2.549,7.17534171109341,-37.01630675370761,-46.099187419999005
301819248.0,0.3804,-0.022,-0.0498,-29.562,110.966,0.84,3.5314155488524066,-36.500586234260304,-46.085479309999
301832248.0,0.3423,-0.0205,0.0156,-27.365,122.074,2.854,2.057077428591538,-35.93048543204413,-46.045589199999
301845248.0,0.3516,-0.0229,-0.0127,-20.101,135.868,2.61,-0.6208775624083269,-35.19694121834027,-46.008871089999
301858248.0,0.3027,-0.0015,-0.0513,-11.678,140.507,2.121,-4.324225677389579,-34.31169680866813,-45.978509979999
301871248.0,0.2754,-0.0078,-0.1514,1.81,152.531,1.755,-7.756182016561546,-32.906794441683864,-45.952906869999
301884248.0,0.2012,-0.0034,-0.2925,16.337,166.203,1.511,-10.980090257669783,-30.8228593748334,-45.930475759999
301897248.0,0.1226,-0.022,-0.4077,30.253,174.137,1.877,-13.9137748182549,-28.323380324070616,-45.903286649998996
301910248.0,0.0747,-0.0488,-0.541,41.178,172.978,0.535,-16.608289897296185,-25.710986349486863,-45.893543539998994
301923248.0,0.042,-0.0342,-0.7075,45.145,161.198,-3.677,-19.246111921174574,-23.212181507106482,-45.938556429999
301936248.0,-0.0386,-0.0317,-0.9966,61.259,148.686,-5.508,-21.644797561663026,-20.810549689525438,-46.007372319999
301949248.0,-0.1782,-0.0059,-1.1045,58.634,148.014,-5.874,-24.05926798156983,-18.326550635256837,-46.080946209999
301962248.0,-0.1895,0.0415,-1.3203,62.784,135.99,2.61,-19.214706018602683,-16.06544136231308,-46.044228099998996
301975248.0,-0.1831,0.0962,-1.5474,57.169,118.107,10.3,-14.573712172678928,-14.105951372079865,-45.907539989998995
